方向,排名,題材,熱度Δ,市場,代碼,XQ代碼,公司,當週排行
下降,21,封測(OSAT/測試),-1.2,美,KLAC,KLAC.US,科磊(KLA),20
下降,21,封測(OSAT/測試),-1.2,美,TER,TER.US,泰瑞達(Teradyne),57
下降,21,封測(OSAT/測試),-1.2,美,ASX,ASX.US,日月光ADR,165
下降,21,封測(OSAT/測試),-1.2,美,AMKR,AMKR.US,安靠科技(Amkor),276
下降,21,封測(OSAT/測試),-1.2,日,6857,6857.JP,愛德萬測試,6
下降,21,封測(OSAT/測試),-1.2,日,6146,6146.JP,迪思科(DISCO),11
下降,21,封測(OSAT/測試),-1.2,日,7729,7729.JP,東京精密,77
下降,21,封測(OSAT/測試),-1.2,日,6315,6315.JP,東和(Towa),127
下降,21,封測(OSAT/測試),-1.2,日,6966,6966.JP,三井ハイテック,211
下降,21,封測(OSAT/測試),-1.2,韓,042700,042700.KS,韓美半導體,24
下降,21,封測(OSAT/測試),-1.2,韓,058470,058470.KS,Leeno工業,75
下降,21,封測(OSAT/測試),-1.2,韓,067310,067310.KS,Hana Micron,76
下降,21,封測(OSAT/測試),-1.2,韓,089030,089030.KS,Techwing,87
下降,21,封測(OSAT/測試),-1.2,韓,095340,095340.KS,ISC,114
下降,21,封測(OSAT/測試),-1.2,陸,sh600584,600584.SH,長電科技,9
下降,21,封測(OSAT/測試),-1.2,陸,sz000021,000021.SZ,深科技,20
下降,21,封測(OSAT/測試),-1.2,陸,sz300604,300604.SZ,長川科技,29
下降,21,封測(OSAT/測試),-1.2,陸,sz002156,002156.SZ,通富微電,66
下降,21,封測(OSAT/測試),-1.2,陸,sz002185,002185.SZ,華天科技,74
下降,22,面板,-1.15,台,3481,3481.TW,,10
下降,22,面板,-1.15,台,2409,2409.TW,,37
下降,22,面板,-1.15,台,6116,6116.TW,,247
下降,22,面板,-1.15,日,6740,6740.JP,JOLED(原日本顯示器),459
下降,22,面板,-1.15,韓,034220,034220.KS,LG Display,109
下降,22,面板,-1.15,陸,sz000725,000725.SZ,京東方Ａ,3
下降,22,面板,-1.15,陸,sh600707,600707.SH,彩虹股份,123
下降,23,記憶體,-0.81,台,2344,2344.TW,,7
下降,23,記憶體,-0.81,台,2408,2408.TW,,8
下降,23,記憶體,-0.81,台,8299,8299.TW,,30
下降,23,記憶體,-0.81,台,2337,2337.TW,,31
下降,23,記憶體,-0.81,台,5289,5289.TW,,50
下降,23,記憶體,-0.81,台,3006,3006.TW,,96
下降,23,記憶體,-0.81,台,3260,3260.TW,,108
下降,23,記憶體,-0.81,台,2451,2451.TW,,237
下降,23,記憶體,-0.81,台,5351,5351.TW,,246
下降,23,記憶體,-0.81,台,4967,4967.TW,,287
下降,23,記憶體,-0.81,美,MU,MU.US,美光科技,1
下降,23,記憶體,-0.81,美,SNDK,SNDK.US,Sandisk,2
下降,23,記憶體,-0.81,美,STX,STX.US,希捷科技,23
下降,23,記憶體,-0.81,美,WDC,WDC.US,威騰電子,24
下降,23,記憶體,-0.81,日,285,285.JP,鎧俠(Kioxia),1
下降,23,記憶體,-0.81,韓,000660,000660.KS,SK海力士,1
下降,23,記憶體,-0.81,韓,005930,005930.KS,三星電子,2
下降,23,記憶體,-0.81,韓,005935,005935.KS,三星電子優先股,5
下降,23,記憶體,-0.81,韓,080220,080220.KS,濟州半導體,28
下降,23,記憶體,-0.81,韓,440110,440110.KS,Fadu,117
下降,23,記憶體,-0.81,陸,sh603986,603986.SH,兆易創新,1
下降,23,記憶體,-0.81,陸,sh688008,688008.SH,瀾起科技,6
下降,23,記憶體,-0.81,陸,sz001309,001309.SZ,德明利,7
下降,23,記憶體,-0.81,陸,sh688525,688525.SH,佰維存儲,11
下降,23,記憶體,-0.81,陸,sz301308,301308.SZ,江波龍,19
下降,24,光學元件,-0.76,台,3008,3008.TW,,42
下降,24,光學元件,-0.76,台,3019,3019.TW,,176
下降,24,光學元件,-0.76,台,3406,3406.TW,,273
下降,24,光學元件,-0.76,韓,011070,011070.KS,LG伊諾特,19
下降,24,光學元件,-0.76,韓,017900,017900.KS,光電子,353
下降,25,組裝代工(EMS),-0.73,台,2317,2317.TW,,20
下降,25,組裝代工(EMS),-0.73,台,2382,2382.TW,,54
下降,25,組裝代工(EMS),-0.73,台,3231,3231.TW,,67
下降,25,組裝代工(EMS),-0.73,台,2356,2356.TW,,152
下降,25,組裝代工(EMS),-0.73,台,2324,2324.TW,,171
下降,25,組裝代工(EMS),-0.73,台,4938,4938.TW,,243
下降,25,組裝代工(EMS),-0.73,台,2312,2312.TW,,291
下降,25,組裝代工(EMS),-0.73,美,FLEX,FLEX.US,偉創力,135
下降,25,組裝代工(EMS),-0.73,美,CLS,CLS.US,Celestica,178
下降,25,組裝代工(EMS),-0.73,美,JBL,JBL.US,捷普(Jabil),342
下降,25,組裝代工(EMS),-0.73,美,SANM,SANM.US,Sanmina,556
下降,25,組裝代工(EMS),-0.73,陸,sz002475,002475.SZ,立訊精密,18
下降,25,組裝代工(EMS),-0.73,陸,sh600667,600667.SH,太極實業,25
下降,25,組裝代工(EMS),-0.73,陸,sz002600,002600.SZ,領益智造,48
